Study Name,PI Name,HEAL Research Program,Core CDE Measures,Domain,Questionnaire
The Penn Human Precision Pain Center (HPPC): Discovery and Functional Evaluation of Human Primary Somatosensory Neuron Types at Normal and Chronic Pain Conditions,WENQIN LUO,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Adult Demographics *Sweden,Demographics,
SPRINT: Signature for Pain Recovery IN Teens,Laura Simons,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,AWS-10 + Sleep Duration Items,Sleep,
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,AWS-10 + Sleep Duration Items,Sleep,
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,AWS-10 + Sleep Duration Items,Sleep,
Culturally adapted mobile treatment of chronic pain in adolescent survivors of pediatric bone sarcoma,Tara Brinkman,Health Equity in Pain Management,AWS-10 + Sleep Duration Items,Sleep,
Integrative Training Program for Pediatric Sickle Cell Pain,Soumitri Sil,Health Equity in Pain Management,AWS-10 + Sleep Duration Items,Sleep,
SurgeryPal,Jennifer Rabbitts,ERN- Pain Management Effectiveness Research Network,AWS-10 + Sleep Duration Items,Sleep,
PAINED: Project Addressing INequities in the Emergency Department,Monika Goyal,Health Equity in Pain Management,BPI Pain Interference (Copyrighted),Pain Interference,BPI
SPRINT: Signature for Pain Recovery IN Teens,Laura Simons,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Interference (Copyrighted),Pain Interference,BPI
Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Daniel Rotroff,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Interference (Copyrighted),Pain Interference,BPI
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Interference (Copyrighted),Pain Interference,BPI
Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,Catherine Chong,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Interference (Copyrighted),Pain Interference,BPI
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Interference (Copyrighted),Pain Interference,BPI
Validation of a novel cortical biomarker signature for pain,Joyce Teiweira Da Silva,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Interference (Copyrighted),Pain Interference,BPI
Latinx Children and Surgery,Zeev  Kain,Health Equity in Pain Management,BPI Pain Interference (Copyrighted),Pain Interference,BPI
Culturally adapted mobile treatment of chronic pain in adolescent survivors of pediatric bone sarcoma,Tara Brinkman,Health Equity in Pain Management,BPI Pain Interference (Copyrighted),Pain Interference,BPI
Implementation and Effectiveness of Mindfulness Oriented Recovery Enhancement as an Adjunct to Methadone Treatment for Opioid Use Disorder,Nina Cooperman,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,BPI Pain Interference (Copyrighted),Pain Interference,BPI
HEAL Initiative: Developing Quantitative Imaging and Other Relevant Biomarkers of Myofascial Tissues for Clinical Pain Management,Seward Rutkove,MPS- Myofascial Pain,BPI Pain Interference (Copyrighted),Pain Interference,BPI
Integrative Training Program for Pediatric Sickle Cell Pain,Soumitri Sil,Health Equity in Pain Management,BPI Pain Interference (Copyrighted),Pain Interference,BPI
Pain Response Evaluation of a Combined Intervention to Cope Effectively (PRECICE),Dennis Chua  Ang,ERN- Pain Management Effectiveness Research Network,BPI Pain Interference (Copyrighted),Pain Interference,BPI
SurgeryPal,Jennifer Rabbitts,ERN- Pain Management Effectiveness Research Network,BPI Pain Interference (Copyrighted),Pain Interference,BPI
Discovery and Analytical Validation of Inflammatory Bio-Signatures of the Human Pain Experience,Alan Prossin,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Interference (Copyrighted),Pain Interference,BPI
Impact of discrimination on pain management in adults with sickle cell disease,Lakeya McGill,K12 - National K12 Clinical Pain Career Development,BPI Pain Interference (Copyrighted),Pain Interference,BPI
PAINED: Project Addressing INequities in the Emergency Department,Monika Goyal,Health Equity in Pain Management,BPI Pain Severity,Pain Intensity,BPI
SPRINT: Signature for Pain Recovery IN Teens,Laura Simons,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Severity,Pain Intensity,BPI
Multi-Omic Biomarkers for Neuropathic Pain Secondary to Chemotherapy,Daniel Rotroff,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Severity,Pain Intensity,BPI
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Severity,Pain Intensity,BPI
Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,Catherine Chong,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Severity,Pain Intensity,BPI
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Severity,Pain Intensity,BPI
Validation of a novel cortical biomarker signature for pain,Joyce Teiweira Da Silva,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Severity,Pain Intensity,BPI
Latinx Children and Surgery,Zeev  Kain,Health Equity in Pain Management,BPI Pain Severity,Pain Intensity,BPI
Culturally adapted mobile treatment of chronic pain in adolescent survivors of pediatric bone sarcoma,Tara Brinkman,Health Equity in Pain Management,BPI Pain Severity,Pain Intensity,BPI
Implementation and Effectiveness of Mindfulness Oriented Recovery Enhancement as an Adjunct to Methadone Treatment for Opioid Use Disorder,Nina Cooperman,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,BPI Pain Severity,Pain Intensity,BPI
HEAL Initiative: Developing Quantitative Imaging and Other Relevant Biomarkers of Myofascial Tissues for Clinical Pain Management,Seward Rutkove,MPS- Myofascial Pain,BPI Pain Severity,Pain Intensity,BPI
Integrative Training Program for Pediatric Sickle Cell Pain,Soumitri Sil,Health Equity in Pain Management,BPI Pain Severity,Pain Intensity,BPI
Pain Response Evaluation of a Combined Intervention to Cope Effectively (PRECICE),Dennis Chua  Ang,ERN- Pain Management Effectiveness Research Network,BPI Pain Severity,Pain Intensity,BPI
SurgeryPal,Jennifer Rabbitts,ERN- Pain Management Effectiveness Research Network,BPI Pain Severity,Pain Intensity,BPI
Discovery and Analytical Validation of Inflammatory Bio-Signatures of the Human Pain Experience,Alan Prossin,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,BPI Pain Severity,Pain Intensity,BPI
Impact of discrimination on pain management in adults with sickle cell disease,Lakeya McGill,K12 - National K12 Clinical Pain Career Development,BPI Pain Severity,Pain Intensity,BPI
SPRINT: Signature for Pain Recovery IN Teens,Laura Simons,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Child Demographics,Demographics,
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Child Demographics,Demographics,
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Child Demographics,Demographics,
Latinx Children and Surgery,Zeev  Kain,Health Equity in Pain Management,Child Demographics,Demographics,
Culturally adapted mobile treatment of chronic pain in adolescent survivors of pediatric bone sarcoma,Tara Brinkman,Health Equity in Pain Management,Child Demographics,Demographics,
Integrative Training Program for Pediatric Sickle Cell Pain,Soumitri Sil,Health Equity in Pain Management,Child Demographics,Demographics,
SurgeryPal,Jennifer Rabbitts,ERN- Pain Management Effectiveness Research Network,Child Demographics,Demographics,
PAINED: Project Addressing INequities in the Emergency Department,Monika Goyal,Health Equity in Pain Management,Child Demographics *Revised,Demographics,
SPRINT: Signature for Pain Recovery IN Teens,Laura Simons,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Pedram Hamrah,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,Catherine Chong,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Partners for Pain & Wellbeing Equity: A Randomized Trial of Community Supported Complementary and Integrative Health Self Management for Back Pain,Roni Evans,Health Equity in Pain Management,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Human Nociceptor and Spinal Cord Molecular Signature Center,Ted  Price,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
EPPIC-Net: Platform Protocol to Assess Treatments for Painful Diabetic Peripheral Neuropathy,Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
EPPIC-Net: Novaremed Painful Diabetic Peripheral Neuropathy ISA (EN21-01),Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
A Study to Evaluate the Safety and Efficacy of CNTX-6970 in Subjects With Knee Osteoarthritis Pain.,Maurizio Fava,EPPIC Net- Early Phase Pain Investigation Clinical Network,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Group-based Integrative Pain Management: A multi-level approach to address intersectional stigma and social isolation in diverse primary care safety net patients with chronic pain,Maria Chao,Health Equity in Pain Management,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Validation of a novel cortical biomarker signature for pain,Joyce Teiweira Da Silva,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Innervation of the knee and TMJ,Kyle Allen,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Culturally adapted mobile treatment of chronic pain in adolescent survivors of pediatric bone sarcoma,Tara Brinkman,Health Equity in Pain Management,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
From Nerve to Brain: Toward a Mechanistic Understanding of Spinal Cord Stimulation in Human Subjects,Brian Wainger,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
HEALing LB3P: Profiling Biomechanical Biological and Behavioral Phenotypes,Gwendolyn Sowa,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Novel Imaging of Endplate Biomarkers in Chronic Low Back Pain,Aaron Fields,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
INTERCEPT: Integrated Research Center for human Pain Tissues,Robert Gereau,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Nonpharmacologic Pain Management for Lumbar Surgery,Julie Fritz,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
The Spine Phenome Project: Enabling Technology for Personalized Medicine,William Marras,BACPAC- Back Pain Consortium Research Program,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
Tailored Retention and Engagement for Equitable Treatment of OUD and Pain (TREETOP),Jessica Merlin,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
HEAL Initiative: Developing Quantitative Imaging and Other Relevant Biomarkers of Myofascial Tissues for Clinical Pain Management,Seward Rutkove,MPS- Myofascial Pain,Generalized Anxiety Disorder- 2 (GAD-2),Anxiety,GAD
